"ID";"Gene.Title";"Gene.Symbol";"Entrez.Gene";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"11750318_at";"ERC2 intronic transcript 1";"ERC2-IT1";"711";-2,17254953980057;7,5622950751061;-12,1797336157625;1,74167813636669e-12;"8.202e-09";18,3576806892241
"11762878_at";"methionine sulfoxide reductase A";"MSRA";"4482";-2,00087542310314;7,7705550338772;-12,2447670570333;1,54073491058656e-12;"8.202e-09";18,4718244655278
"11736760_a_at";"FK506 binding protein 11";"FKBP11";"51303";-1,82427920316274;9,85893126904926;-11,0616353672749;1,54368817126524e-11;"4.846e-08";16,3115346624562
"11730944_a_at";"coiled-coil domain containing 65";"CCDC65";"85478";-1,8845468196432;10,8682018543459;-10,1094088928302;1,11245200530249e-10;"1.746e-07";14,4382161319518
"11740908_x_at";"PMS1 homolog 2, mismatch repair system component pseudogene 9";"PMS2P9";"100132832";-1,69360991055175;11,1175154118341;-10,1980103981552;9,21329403035427e-11;"1.746e-07";14,6177936823465
"11761715_at";"cancer susceptibility candidate 4";"CASC4";"113201";-1,98667857195583;7,33366490572613;-10,1163713464994;1,09605540967787e-10;"1.746e-07";14,4523674009727
"11762883_x_at";"EMG1 N1-specific pseudouridine methyltransferase";"EMG1";"10436";-1,52292797345681;8,68078774744125;-9,8535003133721;1,92825496377975e-10;"2.594e-07";13,9133497774811
"11759864_at";"zinc finger protein 609";"ZNF609";"23060";-2,2592004426258;6,37480962102234;-9,76912815157318;2,31590025876888e-10;"2.726e-07";13,7382756678669
"11760410_at";"R3H domain containing 1";"R3HDM1";"23518";-1,70417158892311;8,19581606500297;-9,68147869201872;2,80405538607366e-10;"2.934e-07";13,555330821951
"11735941_at";"saitohin";"STH";"246744";-1,98440106627854;7,91922328167248;-9,49965615929231;4,18290724986695e-10;"3.939e-07";13,1723339798038
"11762006_at";"suppressor of fused homolog (Drosophila)";"SUFU";"51684";-1,96662828621821;6,59164123935631;-9,37793149120732;5,48027538274971e-10;"4.692e-07";12,9132872615238
