"ID";"Gene.Title";"Gene.Symbol";"Entrez.Gene"
"11715116_s_at";"histone cluster 1, H4e";"HIST1H4E";"8367"
"11715388_s_at";"cyclin-dependent kinase inhibitor 1A (p21, Cip1)";"CDKN1A";"1026"
"11716332_a_at";"ribosomal protein L28";"RPL28";"6158"
"11716564_a_at";"serologically defined colon cancer antigen 3";"SDCCAG3";"10807"
"11717082_a_at";"tetraspanin 9";"TSPAN9";"10867"
"11717482_at";"pyruvate dehydrogenase (lipoamide) alpha 1";"PDHA1";"5160"
"11717873_x_at";"interferon regulatory factor 8";"IRF8";"3394"
"11718061_at";"parvalbumin";"PVALB";"5816"
"11718654_s_at";"polycystic kidney disease 2 (autosomal dominant)";"PKD2";"5311"
"11719239_at";"pannexin 1";"PANX1";"24145"
"11720378_a_at";"SAP30-like";"SAP30L";"79685"
"11720392_at";"RAB11 family interacting protein 4 (class II)";"RAB11FIP4";"84440"
"11720509_a_at";"fibrillin 1";"FBN1";"2200"
"11720641_x_at";"mitochondrial ribosomal protein S27";"MRPS27";"23107"
"11720956_a_at";"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon";"IKBKE";"9641"
"11721134_at";"glutamine-fructose-6-phosphate transaminase 2";"GFPT2";"9945"
"11721398_a_at";"DOT1-like histone H3K79 methyltransferase";"DOT1L";"84444"
"11721630_at";"v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B";"MAFB";"9935"
"11721690_a_at";"cytochrome b561";"CYB561";"1534"
"11721778_a_at";"acyl-CoA binding domain containing 5";"ACBD5";"91452"
"11722104_a_at";"transmembrane protein, adipocyte asscociated 1";"TPRA1";"131601"
"11722339_a_at";"diaphanous-related formin 2";"DIAPH2";"1730"
"11722702_x_at";"DAZ interacting zinc finger protein 1";"DZIP1";"22873"
"11722731_a_at";"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1";"APPL1";"26060"
"11723111_a_at";"elastin microfibril interfacer 2";"EMILIN2";"84034"
"11723764_a_at";"minichromosome maintenance complex component 3 associated protein";"MCM3AP";"8888"
"11723803_a_at";"triggering receptor expressed on myeloid cells 2";"TREM2";"54209"
"11723812_at";"syntaxin 17";"STX17";"55014"
"11723864_s_at";"myotubularin related protein 11";"MTMR11";"10903"
"11724102_s_at";"PDZ domain containing ring finger 3";"PDZRN3";"23024"
"11724160_a_at";"glucoside xylosyltransferase 1";"GXYLT1";"283464"
"11724216_a_at";"G-patch domain containing 2";"GPATCH2";"55105"
"11724424_at";"G protein-coupled receptor 68";"GPR68";"8111"
"11724548_a_at";"round spermatid basic protein 1";"RSBN1";"54665"
"11724862_at";"threonine synthase-like 1";"THNSL1";"79896"
"11725597_a_at";"sulfotransferase family 1C member 2";"SULT1C2";"6819"
"11725599_at";"brain expressed, associated with NEDD4, 1";"BEAN1";"146227"
"11725729_s_at";"chromosome 1 open reading frame 56";"C1orf56";"54964"
"11725738_at";"membrane associated ring finger 3";"MARCH3";"115123"
"11725760_at";"BLOC-1 related complex subunit 8";"BORCS8";"729991"
"11725772_a_at";"mesoderm induction early response 1, family member 3";"MIER3";"166968"
"11725885_a_at";"CTD nuclear envelope phosphatase 1 regulatory subunit 1";"CNEP1R1";"255919"
"11726063_a_at";"chromosome 2 open reading frame 40";"C2orf40";"84417"
"11726136_a_at";"thymosin beta 15B";"TMSB15B";"286527"
"11726304_x_at";"major facilitator superfamily domain containing 4";"MFSD4";"148808"
"11726437_a_at";"CKLF-like MARVEL transmembrane domain containing 8";"CMTM8";"152189"
"11726557_a_at";"gasdermin B";"GSDMB";"55876"
"11726562_at";"Sin3A associated protein 18kDa";"SAP18";"10284"
"11727167_at";"striatin interacting protein 2";"STRIP2";"57464"
"11727598_a_at";"chromosome 9 open reading frame 64";"C9orf64";"84267"
"11727601_a_at";"WAP four-disulfide core domain 1";"WFDC1";"58189"
"11727819_at";"DEAD (Asp-Glu-Ala-Asp) box polypeptide 46";"DDX46";"9879"
"11727936_a_at";"solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 1";"SLC9A3R1";"9368"
"11728232_a_at";"claudin 1";"CLDN1";"9076"
"11728405_s_at";"negative regulator of reactive oxygen species";"NRROS";"375387"
"11728440_at";"chromodomain helicase DNA binding protein 5";"CHD5";"26038"
"11728530_a_at";"B-cell linker";"BLNK";"29760"
"11728578_a_at";"PRELI domain containing 3A";"PRELID3A";"10650"
"11728609_a_at";"Bardet-Biedl syndrome 7";"BBS7";"55212"
"11728659_a_at";"hematological and neurological expressed 1-like";"HN1L";"90861"
"11728863_at";"GINS complex subunit 1 (Psf1 homolog)";"GINS1";"9837"
"11728977_a_at";"serine/arginine repetitive matrix 3";"SRRM3";"222183"
"11729042_a_at";"deleted in lung and esophageal cancer 1";"DLEC1";"9940"
"11729046_at";"transcription elongation regulator 1-like";"TCERG1L";"256536"
"11729236_at";"methylcrotonoyl-CoA carboxylase 2";"MCCC2";"64087"
"11729431_a_at";"phosphatase domain containing, paladin 1";"PALD1";"27143"
"11729631_x_at";"adaptor-related protein complex 3, mu 1 subunit";"AP3M1";"26985"
"11729737_a_at";"RCC1 domain containing 1";"RCCD1";"91433"
"11730294_a_at";"SIN3 transcription regulator family member A";"SIN3A";"25942"
"11730317_at";"regulator of G-protein signaling 7 binding protein";"RGS7BP";"401190"
"11730373_a_at";"FYN binding protein";"FYB";"2533"
"11730496_x_at";"nudix hydrolase 19";"NUDT19";"390916"
"11731226_a_at";"tudor domain containing 6";"TDRD6";"221400"
"11731337_a_at";"zinc finger protein 398";"ZNF398";"57541"
"11731365_at";"cyclin N-terminal domain containing 2";"CNTD2";"79935"
"11731413_at";"galactose mutarotase (aldose 1-epimerase)";"GALM";"130589"
"11731620_a_at";"arrestin, beta 2";"ARRB2";"409"
"11731859_at";"zinc finger protein 720";"ZNF720";"124411"
"11732125_s_at";"coatomer protein complex subunit alpha";"COPA";"1314"
"11732207_a_at";"glycine receptor alpha 2";"GLRA2";"2742"
"11732671_s_at";"coiled-coil domain containing 107";"CCDC107";"203260"
"11732780_at";"taste receptor, type 2, member 13";"TAS2R13";"50838"
"11732833_a_at";"chromosome 9 open reading frame 135";"C9orf135";"138255"
"11732839_a_at";"ELKS/RAB6-interacting/CAST family member 2";"ERC2";"26059"
"11732843_a_at";"potassium voltage-gated channel, modifier subfamily S, member 2";"KCNS2";"3788"
"11732999_a_at";"intercellular adhesion molecule 1";"ICAM1";"3383"
"11733283_a_at";"KRAB box domain containing 4";"KRBOX4";"55634"
"11734248_a_at";"synaptonemal complex central element protein 1";"SYCE1";"93426"
"11734339_at";"POU class 3 homeobox 1";"POU3F1";"5453"
"11734458_a_at";"family with sequence similarity 160, member B1";"FAM160B1";"57700"
"11734469_a_at";"transmembrane protein 215";"TMEM215";"401498"
"11734742_a_at";"LIM domain kinase 2";"LIMK2";"3985"
"11734753_at";"TatD DNase domain containing 3";"TATDN3";"128387"
"11735436_at";"forkhead-associated (FHA) phosphopeptide binding domain 1";"FHAD1";"114827"
"11735479_x_at";"coiled-coil domain containing 125";"CCDC125";"202243"
"11735545_at";"family with sequence similarity 177, member B";"FAM177B";"400823"
"11735736_a_at";"cAMP responsive element binding protein 3-like 3";"CREB3L3";"84699"
"11736055_at";"BLOC-1 related complex subunit 7";"BORCS7";"119032"
"11736896_at";"proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)";"PRRG4";"79056"
"11736955_a_at";"maelstrom spermatogenic transposon silencer";"MAEL";"84944"
"11737050_x_at";"histamine receptor H1";"HRH1";"3269"
"11737122_at";"ankyrin-repeat and fibronectin type III domain containing 1";"ANKFN1";"162282"
"11737138_a_at";"ubiquilin 1";"UBQLN1";"29979"
"11737263_at";"harakiri, BCL2 interacting protein";"HRK";"8739"
