"ID";"Gene.Title";"Gene.Symbol";"Entrez.Gene";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"11762878_at";"methionine sulfoxide reductase A";"MSRA";"4482";-2,02549172245788;7,7705550338772;-13,8584914106272;8,46896941054532e-14;"7.976e-10";21,2849587049965
"11750318_at";"ERC2 intronic transcript 1";"ERC2-IT1";"711";-2,07113121060678;7,5622950751061;-12,981674675155;3,96398493225958e-13;"1.867e-09";19,8451226698041
"11736760_a_at";"FK506 binding protein 11";"FKBP11";"51303";-1,71788169145562;9,85893126904926;-11,6459866753866;4,84836461292981e-12;"1.522e-08";17,4802589004458
"11740908_x_at";"PMS1 homolog 2, mismatch repair system component pseudogene 9";"PMS2P9";"100132832";-1,67598948743055;11,1175154118341;-11,2830980135487;9,90616063649492e-12;"2.332e-08";16,7996287174696
"11761715_at";"cancer susceptibility candidate 4";"CASC4";"113201";-1,95788905037903;7,33366490572613;-11,1465441188355;1,30136331160335e-11;"2.451e-08";16,5391094064617
"11730944_a_at";"coiled-coil domain containing 65";"CCDC65";"85478";-1,77176774350722;10,8682018543459;-10,6262646619025;3,7559730612398e-11;"5.053e-08";15,5239886442055
"11759726_at";"chromosome 14 open reading frame 159";"C14orf159";"80017";-1,90709176015801;8,1815833228909;-10,6348794213752;3,68964419060588e-11;"5.053e-08";15,5410912277539
"11762883_x_at";"EMG1 N1-specific pseudouridine methyltransferase";"EMG1";"10436";-1,43209700082967;8,68078774744125;-10,3594956527677;6,55099141386115e-11;"7.712e-08";14,9894054415418
"11738276_s_at";"speedy/RINGO cell cycle regulator family member E3";"SPDYE3";"441272";-1,61444924336825;10,6471608476579;-10,2370863085191;8,48097654652065e-11;"7.987e-08";14,7408585648868
"11759864_at";"zinc finger protein 609";"ZNF609";"23060";-2,11901315175501;6,37480962102234;-10,2444748583735;8,34937802424318e-11;"7.987e-08";14,7559190083359
"11761064_x_at";"speedy/RINGO cell cycle regulator family member E2B";"SPDYE2B";"100310812";-1,89908849255009;10,1307246231789;-10,0641353599566;1,22540479033705e-10;"1.049e-07";14,3861743940813
"11760599_at";"huntingtin interacting protein 1";"HIP1";"3092";-2,22060010459657;8,86600732507164;-9,8789792407904;1,82481167004658e-10;"1.432e-07";14,0018661586488
"11735262_x_at";"cation channel, sperm associated 2";"CATSPER2";"117155";-1,35749480804377;9,33377590084011;-9,70398745010272;2,66939993344615e-10;"1.634e-07";13,6342580257998
"11735941_at";"saitohin";"STH";"246744";-1,81320238983417;7,91922328167248;-9,70464657515802;2,66555843886971e-10;"1.634e-07";13,6356507111384
"11737350_x_at";"stromal antigen 3-like 2 (pseudogene)";"STAG3L2";"442582";-1,28988817630306;11,3764058549159;-9,65849736040659;2,94874739985697e-10;"1.634e-07";13,5379932062428
"11760817_at";"cyclin-dependent kinase-like 3";"CDKL3";"51265";-1,61118443786689;6,76911503274247;-9,66294303006527;2,92017078537617e-10;"1.634e-07";13,5474138240919
"11761677_at";"TAM41 mitochondrial translocator assembly and maintenance homolog";"TAMM41";"132001";-1,80770863484911;7,66448939738947;-9,69319296520625;2,73312745727099e-10;"1.634e-07";13,6114413515687
"11751332_a_at";"cytokine receptor-like factor 3";"CRLF3";"51379";-1,67596569875521;8,4834972490158;-9,62480003981434;3,17490757773856e-10;"1.661e-07";13,4664963639625
"11746227_at";"potassium channel tetramerization domain containing 5 pseudogene";"LOC652276";"652276";-1,26681109121062;9,11307266412198;-9,53008975117441;3,91089189717629e-10;"1.939e-07";13,2646899127119
"11760004_at";"HHSL751";"LOC100508226";"100508226";-1,73109574315782;6,83191624047889;-9,48099331835819;4,35925187254745e-10;"2.053e-07";13,159578565646
